Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Cruzeiro,1,1,0,0,2:0,2,3,2009,1
2,Vitória,1,1,0,0,2:0,2,3,2009,1
3,Palmeiras,1,1,0,0,2:1,1,3,2009,1
4,Internacional,1,1,0,0,1:0,1,3,2009,1
5,Fluminense,1,1,0,0,1:0,1,3,2009,1
6,Goiás,1,0,1,0,3:3,0,1,2009,1
7,Náutico,1,0,1,0,3:3,0,1,2009,1
8,Atlético-MG,1,0,1,0,2:2,0,1,2009,1
9,Avaí,1,0,1,0,2:2,0,1,2009,1
10,Grêmio,1,0,1,0,1:1,0,1,2009,1
11,Botafogo,1,0,1,0,1:1,0,1,2009,1
12,Sport,1,0,1,0,1:1,0,1,2009,1
13,Santos,1,0,1,0,1:1,0,1,2009,1
14,Santo André,1,0,1,0,1:1,0,1,2009,1
15,Barueri,1,0,1,0,1:1,0,1,2009,1
16,Coritiba,1,0,0,1,1:2,-1,0,2009,1
17,São Paulo,1,0,0,1,0:1,-1,0,2009,1
18,Corinthians,1,0,0,1,0:1,-1,0,2009,1
19,Flamengo,1,0,0,1,0:2,-2,0,2009,1
20,Atlético-PR,1,0,0,1,0:2,-2,0,2009,1
1,Internacional,2,2,0,0,3:0,3,6,2009,2
2,Vitória,2,2,0,0,3:0,3,6,2009,2
3,Náutico,2,1,1,0,5:3,2,4,2009,2
4,Santo André,2,1,1,0,5:3,2,4,2009,2
5,Atlético-MG,2,1,1,0,4:3,1,4,2009,2
6,Fluminense,2,1,1,0,1:0,1,4,2009,2
7,Cruzeiro,2,1,0,1,2:2,0,3,2009,2
8,Palmeiras,2,1,0,1,2:3,-1,3,2009,2
9,Goiás,2,0,2,0,6:6,0,2,2009,2
10,Santos,2,0,2,0,4:4,0,2,2009,2
11,Avaí,2,0,2,0,2:2,0,2,2009,2
12,Botafogo,2,0,2,0,1:1,0,2,2009,2
13,Barueri,2,0,2,0,1:1,0,2,2009,2
14,São Paulo,2,0,1,1,2:3,-1,1,2009,2
15,Grêmio,2,0,1,1,2:3,-1,1,2009,2
16,Sport,2,0,1,1,1:2,-1,1,2009,2
17,Corinthians,2,0,1,1,0:1,-1,1,2009,2
18,Atlético-PR,2,0,1,1,2:4,-2,1,2009,2
19,Flamengo,2,0,1,1,0:2,-2,1,2009,2
20,Coritiba,2,0,0,2,3:6,-3,0,2009,2
1,Internacional,3,3,0,0,4:0,4,9,2009,3
2,Náutico,3,2,1,0,8:5,3,7,2009,3
3,Atlético-MG,3,2,1,0,7:5,2,7,2009,3
4,Cruzeiro,3,2,0,1,4:2,2,6,2009,3
5,Vitória,3,2,0,1,3:2,1,6,2009,3
6,Santos,3,1,2,0,8:5,3,5,2009,3
7,Santo André,3,1,1,1,6:5,1,4,2009,3
8,Grêmio,3,1,1,1,4:3,1,4,2009,3
9,Corinthians,3,1,1,1,2:2,0,4,2009,3
10,Palmeiras,3,1,1,1,2:3,-1,4,2009,3
11,Flamengo,3,1,1,1,2:3,-1,4,2009,3
12,Fluminense,3,1,1,1,2:4,-2,4,2009,3
13,Avaí,3,0,3,0,4:4,0,3,2009,3
14,Goiás,3,0,2,1,6:7,-1,2,2009,3
15,São Paulo,3,0,2,1,2:3,-1,2,2009,3
16,Barueri,3,0,2,1,2:3,-1,2,2009,3
17,Botafogo,3,0,2,1,1:3,-2,2,2009,3
18,Sport,3,0,1,2,3:5,-2,1,2009,3
19,Coritiba,3,0,1,2,5:8,-3,1,2009,3
20,Atlético-PR,3,0,1,2,4:7,-3,1,2009,3
1,Internacional,4,4,0,0,6:1,5,12,2009,4
2,Vitória,4,3,0,1,4:2,2,9,2009,4
3,Santos,4,2,2,0,11:6,5,8,2009,4
4,Náutico,4,2,2,0,9:6,3,8,2009,4
5,Atlético-MG,4,2,2,0,7:5,2,8,2009,4
6,Flamengo,4,2,1,1,4:4,0,7,2009,4
7,Cruzeiro,4,2,0,2,4:5,-1,6,2009,4
8,São Paulo,4,1,2,1,5:3,2,5,2009,4
9,Goiás,4,1,2,1,9:8,1,5,2009,4
10,Santo André,4,1,2,1,6:5,1,5,2009,4
11,Palmeiras,4,1,2,1,4:5,-1,5,2009,4
12,Fluminense,4,1,2,1,3:5,-2,5,2009,4
13,Grêmio,4,1,1,2,4:4,0,4,2009,4
14,Corinthians,4,1,1,2,3:5,-2,4,2009,4
15,Avaí,4,0,3,1,5:6,-1,3,2009,4
16,Barueri,4,0,3,1,4:5,-1,3,2009,4
17,Botafogo,4,0,3,1,3:5,-2,3,2009,4
18,Sport,4,0,2,2,5:7,-2,2,2009,4
19,Atlético-PR,4,0,1,3,5:9,-4,1,2009,4
20,Coritiba,4,0,1,3,6:11,-5,1,2009,4
1,Internacional,5,4,1,0,7:2,5,13,2009,5
2,Atlético-MG,5,3,2,0,11:5,6,11,2009,5
3,Vitória,5,3,0,2,5:4,1,9,2009,5
4,Santos,5,2,3,0,14:9,5,9,2009,5
5,Náutico,5,2,2,1,9:9,0,8,2009,5
6,Palmeiras,5,2,2,1,6:6,0,8,2009,5
7,Fluminense,5,2,2,1,4:5,-1,8,2009,5
8,Grêmio,5,2,1,2,7:4,3,7,2009,5
9,Corinthians,5,2,1,2,5:5,0,7,2009,5
10,Cruzeiro,5,2,1,2,5:6,-1,7,2009,5
11,Flamengo,5,2,1,2,6:8,-2,7,2009,5
12,São Paulo,5,1,3,1,5:3,2,6,2009,5
13,Goiás,5,1,3,1,11:10,1,6,2009,5
14,Santo André,5,1,3,1,9:8,1,6,2009,5
15,Sport,5,1,2,2,9:9,0,5,2009,5
16,Barueri,5,0,4,1,6:7,-1,4,2009,5
17,Avaí,5,0,4,1,5:6,-1,4,2009,5
18,Botafogo,5,0,3,2,3:6,-3,3,2009,5
19,Coritiba,5,0,1,4,6:13,-7,1,2009,5
20,Atlético-PR,5,0,1,4,5:13,-8,1,2009,5
1,Atlético-MG,6,4,2,0,14:5,9,14,2009,6
2,Internacional,6,4,2,0,7:2,5,14,2009,6
3,Palmeiras,6,3,2,1,9:7,2,11,2009,6
4,Vitória,6,3,1,2,5:4,1,10,2009,6
5,Santos,6,2,3,1,14:11,3,9,2009,6
6,Fluminense,6,2,3,1,4:5,-1,9,2009,6
7,Grêmio,6,2,2,2,7:4,3,8,2009,6
8,Corinthians,6,2,2,2,5:5,0,8,2009,6
9,Náutico,6,2,2,2,9:12,-3,8,2009,6
10,Cruzeiro,6,2,1,3,6:9,-3,7,2009,6
11,Flamengo,6,2,1,3,6:13,-7,7,2009,6
12,São Paulo,6,1,4,1,6:4,2,7,2009,6
13,Goiás,6,1,4,1,11:10,1,7,2009,6
14,Santo André,6,1,4,1,10:9,1,7,2009,6
15,Barueri,6,1,4,1,9:8,1,7,2009,6
16,Botafogo,6,1,3,2,5:6,-1,6,2009,6
