Posicao,Clube,J,V,E,D,Gols,SG,Pts,Ano,Rodada
1,Blackburn,1,1,0,0,5:1,4,3,2003,1
2,Man Utd.,1,1,0,0,4:0,4,3,2003,1
3,Manchester City,1,1,0,0,3:0,3,3,2003,1
4,FC Fulham,1,1,0,0,3:2,1,3,2003,1
5,FC Arsenal,1,1,0,0,2:1,1,3,2003,1
6,Chelsea,1,1,0,0,2:1,1,3,2003,1
7,FC Portsmouth,1,1,0,0,2:1,1,3,2003,1
8,Birmingham,1,1,0,0,1:0,1,3,2003,1
9,Newcastle,1,0,1,0,2:2,0,1,2003,1
10,Southampton,1,0,1,0,2:2,0,1,2003,1
11,Leeds,1,0,1,0,2:2,0,1,2003,1
12,Leicester,1,0,1,0,2:2,0,1,2003,1
13,Middlesbrough,1,0,0,1,2:3,-1,0,2003,1
14,Liverpool,1,0,0,1,1:2,-1,0,2003,1
15,Everton,1,0,0,1,1:2,-1,0,2003,1
16,Aston Villa,1,0,0,1,1:2,-1,0,2003,1
17,Tottenham,1,0,0,1,0:1,-1,0,2003,1
18,Charlton,1,0,0,1,0:3,-3,0,2003,1
19,Wolves,1,0,0,1,1:5,-4,0,2003,1
20,Bolton,1,0,0,1,0:4,-4,0,2003,1
1,Man Utd.,2,2,0,0,6:1,5,6,2003,2
2,FC Arsenal,2,2,0,0,6:1,5,6,2003,2
3,Chelsea,2,2,0,0,4:2,2,6,2003,2
4,Blackburn,2,1,1,0,7:3,4,4,2003,2
5,Manchester City,2,1,1,0,4:1,3,4,2003,2
6,FC Portsmouth,2,1,1,0,3:2,1,4,2003,2
7,Birmingham,2,1,1,0,1:0,1,4,2003,2
8,Everton,2,1,0,1,4:3,1,3,2003,2
9,Charlton,2,1,0,1,4:3,1,3,2003,2
10,Tottenham,2,1,0,1,2:2,0,3,2003,2
11,FC Fulham,2,1,0,1,4:5,-1,3,2003,2
12,Southampton,2,0,2,0,2:2,0,2,2003,2
13,Newcastle,2,0,1,1,3:4,-1,1,2003,2
